,Unnamed: 0,Material,Name..global...english,Chemical.group,Phase,CAS.no._1,CAS.no._2,CAS.no._3,csid
239,240,131523,HERBOXAN,ACETAL,,54546-26-8,,,85337
240,241,131337,HERBYL PROPIONATE,ESTER,,17511-60-3,68912-13-0,,78087
241,242,103500,HERCOLYN D-E,ESTER,,8050-15-5,,,0
242,243,130172,HEXALACTONE GAMMA,LACTONE,,695-06-7,,,12232
243,244,131080,HEXENAL TRANS-2,ALDEHYDE,,6728-26-3,,,4444608
244,245,130870,HEXENOL TRANS-2,ALCOHOL,,928-95-0,,,4476685
245,246,130041,HEXYL CINNAMIC ALDEHYDE ALPHA,ALDEHYDE,,101-86-0,165184-98-5,,1267362
246,247,131266,HEXYL ISOBUTYRATE,ESTER,,2349-07-7,,,15988
247,248,198030,HYACINTH BODY,ACETAL,,16930-96-4,,,92907
248,249,130391,HYDRATROPIC ALDEHYDE,ALDEHYDE,,93-53-8,,,6879
249,250,131183,HYDRATROPIC ALDEHYDE DIMETH.ACET,ACETAL,,90-87-9,,,56128
250,251,103026,HYDROXY CITRONELLAL,ALDEHYDE,,107-75-5,,,7600
251,252,104086,HYDROXY CITRONELLAL DIMET-ACETAL,ACETAL,,141-92-4,,,8530
252,253,105027,HYDROXY CITRONELLOL,ALCOHOL,,107-74-4,,,29786089
253,254,107288,HYDROXYAMBRAN,ALCOHOL,,118562-73-5,,,7991730
254,255,103493,ISOAMYL ACETATE NAT.,ESTER,,123-92-2,,,29016
255,256,164115,ISOAMYL ALCOHOL,ALCOHOL,,123-51-3,,,29000
256,257,613013,ISOAMYL BENZOATE,ESTER,,94-46-2,,,6925
257,258,611037,ISOAMYL ISOVALERATE,ESTER,,659-70-1,,,12093
258,259,104578,ISOAMYL PHENYL ACETATE,ESTER,,102-19-2,,,7318
259,260,104141,ISOAMYL SALICYLATE,ESTER,,87-20-7,,,6612
260,261,103263,ISOBORNEOL,ALCOHOL,,124-76-5,,,16739225
261,262,130453,ISOBORNYL ACETATE,ESTER,,125-12-2,,,5323219
262,263,184367,ISOBORNYL CYCLOHEXANOL,ALCOHOL,,4621-04-9,,,19528
263,264,131237,ISOBORNYL PROPIONATE,ESTER,,2756-56-1,,,19954883
264,265,104756,ISOBUTYL ACETATE,ESTER,,110-19-0,,,7747
265,266,660181,ISOBUTYL CINNAMATE,ESTER,,122-67-8,,,28963
266,267,105390,ISOBUTYL ISOBUTYRATE,ESTER,,97-85-8,,,7073
267,268,131239,"ISOBUTYL METHOXYPYRAZINE-3,2",HETEROCYCLIC,,24683-00-9,,,30208
268,269,105174,ISOBUTYL PHENYLACETATE,ESTER,,102-13-6,,,54959
269,270,103831,ISOBUTYL QUINOLINE,HETEROCYCLIC,,68198-80-1,,,98541
270,271,104354,ISOBUTYL QUINOLINE DL 100%,HETEROCYCLIC,,65442-31-1,,,93359
271,272,105683,ISOBUTYL SALICYLATE,ESTER,,87-19-4,,,6611
272,273,131275,ISODAMASCON¬,KETONE,,39872-57-6,,,52563506
273,274,103296,ISODODECANE,HYDROCARBON,,31807-55-3,93685-81-5,,21934
274,275,104768,ISOEUGENOL,PHENOL,,97-54-1,,,21106129
275,276,103615,ISOEUGENYL ACETATE,ESTER,S,93-29-8,,,765093
276,277,608049,ISOEUGENYL METHYL ETHER,ETHER,,93-16-3,,,26331475
277,278,104012,ISOJASMONE B 11,KETONE,,95-41-0,,,60134
278,279,659667,ISOLONGIFOLANON COEUR,KETONE,,23787-90-8,29461-14-1,,57579827
279,280,600359,ISOMUSCONE¬,KETONE,,2550-52-9,,,68213
280,281,164854,ISONONANOL,ALCOHOL,,3452-97-9,,,32786946
281,282,131210,ISONONYL ALDEHYDE S,ALDEHYDE,,5435-64-3,,,20276
282,283,103315,ISOOCTANONE,KETONE,,541-85-5,,,7534
283,284,105516,ISOPENTYRATE,ESTER,,80118-06-5,,,2286321
284,285,131418,ISOPHYTOL,ALCOHOL,,505-32-8,,,57576675
285,286,103452,ISOPROPYL CYCLOHEXANOL,ALCOHOL,,993925,,,19528
286,287,131390,"ISOPROPYL METHOXYPYRAZINE-2,3",HETEROCYCLIC,,25773-40-4,,,30649
287,288,132687,ISOPROPYL METHYLBUTYRATE-2,ESTER,,66576-71-4,,,34996281
288,289,131215,ISOPROPYL QUINOLINE,HETEROCYCLIC,,135-79-5,,,60617
289,290,601181,ISOPULEGOL FRACTION EX EUCALYPTUS OIL,ALCOHOL,,89-79-2,,,149356
290,291,131332,ISORALDEINE 70,KETONE,,1335-46-2,,,4521710
291,292,103928,ISORALDEINE 95,KETONE,,127-51-5,,,4522510
292,293,600000,ISOTRIDECYL ACETATE,ESTER,,69103-23-7,,,100612
293,294,164424,ISOVALERIC ACID,ACID,,503-74-2,,,10001
294,295,164421,ISOVALERIC ALDEHYDE,ALDEHYDE,,590-86-3,,,11065
295,296,100216,JACINTHAFLOR¬,ACETAL,,33941-99-0,,,105556
296,297,690965,JASMAPRUNAT,ESTER,,6413-10-1,,,72995
297,298,104686,JASMIN LACTONE,LACTONE,,25524-95-2,,,34990982
298,299,613148,JASMOL,ALCOHOL,,92368-90-6,,,34996286
299,300,104235,JASMOLACTONE CNC,LACTONE,,32764-98-0,,,34985514
300,301,131338,JASMOPOL AC1300,ESTER,,37172-53-5,,,34995989
301,302,103623,JASMOPYRANE,ESTER,,18871-14-2,,,1361549
302,303,127988,JAVANOL,ALCOHOL,,198404-98-7,,,13658169
303,304,106255,JEECOL ISA / ISOSTEARYL ALCOHOL,ALCOHOL,,27458-93-1,,,34992616
304,305,131222,JESSEMAL,ESTER,,38285-49-3,,,32696605
305,306,140419,KEPHALIS,ETHER,,36306-86-2,36306-87-3,,106156
306,307,131367,METHYL GERANIATE,ESTER,,1189-09-9,,,28689539
307,308,103396,METHYL GUAIACOL-4,PHENOL,,93-51-6,,,21105936
308,309,130576,"METHYL HEPTENONE-6,5,2",KETONE,,110-93-0,,,9478
309,310,103675,METHYL IONONE BETA COEUR (66559),KETONE,,1335-46-2,,,4521710
310,311,104250,METHYL IONONE GAMMA COEUR,KETONE,,127-51-5,,,4522510
311,312,103305,METHYL LAVENDER KETONE,KETONE,,67633-95-8,67801-33-6,,95149
312,313,106104,"METHYL METHOXY BUTANOL-3,3",ALCOHOL,,56539-66-3,,,55953
313,314,611401,METHYL METHYLBUTYRATE-2,ESTER,,868-57-5,,,12788
314,315,660240,METHYL NAPHTHYL KETONE BETA CRYST,KETONE,S,93-08-3,,,6855
315,316,131520,"METHYL PHENYLHEXENAL TRANS-5,2,2",ALDEHYDE,,21834-92-4,,,4576448
316,317,131424,METHYL TUBERATE PURE 100%,LACTONE,,33673-62-0,,,4207455
317,318,660564,METHYL UNDECYLENATE,ESTER,,111-81-9,,,7846
318,319,164487,METHYLBUTYRIC ACID-2,ACID,,116-53-0,,,8012
319,320,131403,"METHYLPENTENOIC ACID-2,2",ACID,,3142-72-1,,,5370713
320,321,142048,MINTONAT,ESTER,,67859-96-5,,,1064875
321,322,600092,MUGETANOL,ALCOHOL,,63767-86-2,,,102297
322,323,659479,MUGUETALCOHOL,ALCOHOL,,13351-61-6,,,75226
323,324,195930,MUSCENONE,KETONE,,63314-79-4,,,57523122
324,325,131545,MUSCONE,KETONE,,541-91-3,,,10483
325,326,197006,MYRALDYL ACETATE,ESTER,,72403-67-9,,,57261593
326,327,104032,MYRCENYL ACETATE,ESTER,,1118-39-4,,,13599
327,328,104663,MYROXYDE,ETHER,,69103-20-4,,,11252541
328,329,659673,MYSORE ACETATE,ESTER,,30772-69-1,,,141998
329,330,103836,NECTARYL,KETONE,,95962-14-4,,,153032
330,331,622501,NEO HELIOPAN¬ 357,KETONE,S,70356-09-1,,,46261
331,332,660523,NEO HELIOPAN¬ AV,KETONE,,5466-77-3,,,4511170
332,333,116210,NEO HELIOPAN¬ BB,KETONE,S,131-57-7,,,4471
333,334,131494,NEO HELIOPAN¬ OS,KETONE,,118-60-5,,,8061
334,335,690451,NEOCYCLO CITRAL,ALDEHYDE,,1335-66-6,,,21171842
335,336,611460,NEONONYL ACETATE,ESTER,,58430-94-7,,,38985
336,337,103885,NEROL 900,ALCOHOL,,106-25-2,,,558917
337,338,605361,NEROL 900 FG,ALCOHOL,,106-25-2,,,558917
338,339,130649,NEROLIDOL,ALCOHOL,,7212-44-4,,,8549
339,340,130659,NEROLIN BROMELIA,ETHER,S,93-18-5,,,6862
340,341,665020,NEROLIN YARA YARA CRIST.,ETHER,S,93-04-9,,,6852
341,342,600321,NEROLIONE,KETONE,S,23911-56-0,,,1869668
342,343,106244,NERYL ACETATE,ESTER,,141-12-8,,,1266018
343,344,131363,"NONADIENAL TRANS,CIS-2,6",ALDEHYDE,,557-48-2,,,558840
344,345,131091,"NONADIENOL-2,6",ALCOHOL,,28069-72-9,,,4515298
345,346,131336,NONALACTONE DELTA,LACTONE,,3301-94-8,,,17658
346,347,131394,NONENAL CIS-6,ALDEHYDE,,2277-19-2,,,4515200
347,348,113522,NONENAL TRANS-2,ALDEHYDE,,18829-56-6,,,4446456
348,349,131395,NONENOL CIS-6,ALCOHOL,,35854-86-5,,,4515276
349,350,130246,NOPYL ACETATE,ESTER,,128-51-8,,,91804
350,351,131070,OCIMENYL ACETATE,ESTER,,72214-23-4,,,23353077
351,352,130675,OCTAHYDRO COUMARIN,LACTONE,,4430-31-3,,,32698259
352,353,131485,OCTALACTONE DELTA,LACTONE,,698-76-0,,,5602560
353,354,105565,OCTALACTONE GAMMA,LACTONE,,104-50-7,,,7418
354,355,638261,"OCTENOL-1,3",ALCOHOL,,3391-86-4,,,17778
355,356,131274,"OCTENYL ACETATE-1,3",ESTER,,2442-10-6,,,16205
356,357,611469,OCTYL ACETATE-3 NAT.,ESTER,,4864-61-3,,,9994141
357,358,131308,OCTYL BUTYRATE,ESTER,,110-39-4,,,54989
358,359,107085,OKOUMAL,ETHER,,131812-67-4,,,2298767
359,360,198064,ORANGE FLOWER ETHER,ETHER,,14576-08-0,,,77346
360,361,197014,ORCINOL MONOMETHYL ETHER,PHENOL,S,3209-13-0,,,69135
361,362,131227,ORIVONE,KETONE,,16587-71-6,,,109262
362,363,103451,ORYCLON@ HC,ESTER,,32210-23-4,,,58107066
363,364,103260,OXYOCTALINE FORMATE,ESTER,,65405-72-3,,,103345
364,365,611471,OZONIL,NITRILE,,22629-49-8,,,5020973
365,366,690230,PALISANDAL,ACETAL,,950-33-4,,,63549
366,367,690165,PALISANDIN,ETHER,,2986-54-1,,,24590600
367,368,100210,PARMANYL¬,NITRILE,,142653-61-0,,,23349752
368,369,600300,PASSIFLORAN,KETONE,,136954-25-1,,,34988367
369,370,164637,PELARGONIC ACID,ACID,,112-05-0,,,7866
370,371,130058,"PENTANDIONE-2,3",KETONE,,600-14-6,,,11254
371,372,107343,PEONILE,NITRILE,,10461-98-0,,,59705
372,373,179339,PERANAT,ESTER,,90397-38-9,,,143492
373,374,179349,PETIOLE,ETHER,,68039-47-4,,,95833
374,375,698337,PHELLANDREN FRACTION EX EUCALYPTUS OIL,HYDROCARBON,,4221-98-1,,,390915
375,376,105991,PHENIRAT¬,ESTER,,103-60-6,,,10605817
376,377,198070,PHENOXANOL,ALCOHOL,,55066-48-3,,,97376
377,378,130089,PHENOXYETHYL ALCOHOL,ALCOHOL,,122-99-6,,,13848467
378,379,660354,PHENYLACETALDEHYDE,ALDEHYDE,,122-78-1,,,13876539
379,380,660345,PHENYLACETALDEHYDE DIMETHYL ACETAL,ACETAL,,101-48-4,,,13876435
380,381,600028,PHENYLACETALDEHYDE GLYCERYLACETAL,ACETAL,,29895-73-6,,,20580
381,382,621268,PHENYLACETIC ACID,ACID,S,103-82-2,,,10181341
382,383,130744,PHENYLETHYL ALCOHOL,ALCOHOL,,60-12-8,,,5830
383,384,103392,PHENYLETHYL BUTYRATE,ESTER,,103-52-6,,,7375
384,385,660361,PHENYLETHYL CINNAMATE CRYST.,ESTER,S,103-53-7,,,7376
385,386,103258,PHENYLETHYL DIMETHYL CARBINOL,ALCOHOL,,103-05-9,,,2286203
386,387,103614,PHENYLETHYL FORMATE,ESTER,,104-62-1,,,307171
387,388,103934,PHENYLETHYL ISOBUTYRATE,ESTER,,103-48-0,,,494873
388,389,131090,PHENYLETHYL ISOTHIOCYANATE,ESTER,,2257-09-2,,,15870
389,390,103935,PHENYLETHYL ISOVALERATE,ESTER,,140-26-1,,,10438504
390,391,103222,PHENYLETHYL METHYL ETHER,ETHER,,3558-60-9,,,18022
391,392,103936,PHENYLETHYL PHENYLACETATE,ESTER,,102-20-5,,,3276662
392,393,658982,PHENYLETHYL SALICYLATE,ESTER,S,87-22-9,,,56124
393,394,660165,PHENYLPROPYL ALCOHOL,ALCOHOL,,122-97-4,,,13871718
394,395,130412,PHENYLPROPYL ALDEHYDE,ALDEHYDE,,104-53-0,,,205715
395,396,160223,PINENE ALPHA LAEVO NAT.,HYDROCARBON,,80-56-8,,,92484
396,397,130122,PINENE BETA NAT.,HYDROCARBON,,127-91-3,,,14198
397,398,103237,PINOACET ALDEHYDE,ALDEHYDE,,33885-51-7,,,29366461
398,399,103374,PLICATONE,KETONE,,41724-19-0,,,187270
399,400,659616,POIVROL¬,ESTER,,68966-86-9,,,32815755
400,401,106142,POLYSANTOL,ALCOHOL,,107898-54-4,,,23349145
401,402,904691,POLYSANTOL (MYSANTOL),ALCOHOL,,107898-54-4,,,23349145
402,403,103843,PRECYCLEMONE B,ALDEHYDE,,52474-60-9,52475-86-2,,22886602
403,404,601331,PRENYL ACETATE,ESTER,,1191-16-8,,,13834
404,405,103483,PRENYL SALICYLATE,ESTER,,68555-58-8,,,57523900
405,406,656079,PROFARNESAL,ALDEHYDE,,54082-68-7,,,82271
406,407,660137,PROJASMONE P,KETONE,,137-03-1,,,9302034
407,408,131115,PROPENYL GUAETHOL,PHENOL,S,94-86-0,,,17599678
408,409,131301,PROPYL ACETATE,ESTER,,109-60-4,,,7706
409,410,160221,"PROPYLENE GLYCOL-1,2",ALCOHOL,,57-55-6,,,13835224
410,411,611421,PYROPRUNAT,ESTER,,68039-73-6,,,21162589
411,412,198028,RESEDA BODY,ACETAL,,67633-94-7,,,225289
412,413,690520,RESEDAFOL,ACETAL,,7493-57-4,,,32786967
413,414,658742,RESEDYLACETAL,ACETAL,,10022-28-3,,,3647763
414,415,106108,RHOLIATE,ESTER,,93981-50-1,,,230409
415,416,198039,RHUBOFIX,ETHER,,41816-03-9,,,85298
416,417,907625,ROMANDOLIDE,ESTER,,236391-76-7,,,10688094
417,418,100060,ROMASCONE,ESTER,,81752-87-6,,,9270402
418,419,130770,ROSACETATE,ESTER,S,90-17-5,,,6741
419,420,600064,ROSAPHEN¬,ALCOHOL,,25634-93-9,,,4576354
420,421,106268,ROSE OXIDE HIGH CIS,ETHER,,16409-43-1,,,31043460
421,422,130780,ROSE OXIDE L,ETHER,,16409-43-1,,,31043460
422,423,107077,ROSYRANE SUPER,ETHER,,60335-71-9,,,225224
423,424,621361,SAFRALEINE,KETONE,,54440-17-4,,,34991098
424,425,165208,SAFRANAL,ALDEHYDE,,116-26-7,,,55000
425,426,107396,SAGECETE,ESTER,,131766-73-9,,,23349556
426,427,105188,SANDAL MYSORE CORE,ALCOHOL,,28219-60-5,,,21173224
427,428,131502,SANDALORE,ALCOHOL,,65113-99-7,,,93216
428,429,600001,SANDRANOL¬,ALCOHOL,,28219-61-6,,,4942687
429,430,172313,SANJINOL,ALCOHOL,,28219-61-6,,,4942687
430,431,104316,SCENTENAL,ALDEHYDE,,86803-90-9,,,143443
431,432,100199,SILVIAL,ALDEHYDE,,6658-48-6,,,99560
432,433,684804,SPIROGALBANONE PURE,KETONE,,224031-70-3,224031-71-4,,13694751
433,434,131157,STEMONE,OXIME,,22457-23-4,,,24591520
434,435,611357,STYRALYL ACETATE,ESTER,,93-92-5,,,56133
435,436,903938,STYRALYL ACETATE FG,ESTER,,93-92-5,,,56133
436,437,660414,STYRALYL ALCOHOL,ALCOHOL,,98-85-1,,,31043683
437,438,611467,STYRALYL PROPIONATE,ESTER,,120-45-6,,,5324581
438,439,131449,SULFUROL,HETEROCYCLIC,,137-00-8,,,1104
439,440,100072,SULTANENE¬,ESTER,,15848-49-4,,,9052605
440,441,902958,SYMFRESH¬ NX,ESTER,,25265-77-4,,,34988588
441,442,148469,SYMROSE¬,ALCOHOL,,830322-14-0,,,13536001
442,443,109818,SYMROXANE,ACETAL,,393517-28-7,393517-29-8,676125-00-1,28552743
443,444,104312,SYVERTAL,ACETAL,,4359-47-1,,,96538
444,445,103229,TABANON,KETONE,,13215-88-8,163440-97-9,,18661975
445,446,659672,TABANON COEUR,KETONE,,13215-88-8,163440-97-9,,18661975
446,447,195795,TANGERINOL,ESTER,,3239-35-8,,,4680697
447,448,131002,TERPINENE GAMMA,HYDROCARBON,,99-85-4,,,7181
448,449,600044,TERPINEOL  RECT.,ALCOHOL,,8000-41-7,,,31102932
449,450,130817,TERPINEOL ALPHA,ALCOHOL,,98-55-5,,,13850142
450,451,130813,TERPINEOL PURE,ALCOHOL,,8000-41-7,,,31102932
451,452,660425,TERPINOLENE,HYDROCARBON,,586-62-9,,,10979
452,453,130837,TERPINYL ACETATE,ESTER,,8007-35-0,,,57427099
453,454,600035,TERRANOL¬,ALCOHOL,S,57566-26-4,88644-30-8,,1386337
454,455,130752,TETRAHYDRO CITRAL,ALDEHYDE,,5988-91-0,,,13076833
455,456,130990,TETRAHYDRO LINALOOL,ALCOHOL,,78-69-3,,,6300
456,457,105480,TETRAHYDRO LINALYL ACETATE,ESTER,,20780-48-7,,,80665
457,458,131098,TETRAHYDRO METHYL QUINOLINE PARA,AMINE,,91-61-2,,,232155
458,459,107617,TETRAHYDRO MYRCENOL,ALCOHOL,,18479-57-7,,,78251
459,460,106217,TETRAHYDROGERANIOL,ALCOHOL,,106-21-8,,,5367503
460,461,131525,"TETRAMETHYL PYRAZINE-2,3,5,6",HETEROCYCLIC,S,1124-11-4,,,13658
461,462,131431,"THIOMENTHANONE-8,3",KETONE,,38462-22-5,,,55833
462,463,162075,TOLYLALDEHYDE PARA FG,ALDEHYDE,,104-87-0,,,13865424
463,464,600745,TOSCANOL,ETHER,,16510-27-3,,,4927987
464,465,104304,TRIDECEN NITRILE-2,NITRILE,,22629-49-8,,,5020973
465,466,131224,TRIDECENAL TRANS-2,ALDEHYDE,,7774-82-5,,,4446484
466,467,104325,TRIFERNAL,ALDEHYDE,,16251-77-7,,,27019549
467,468,131382,TRIMOFIX O,KETONE,,144020-22-4,,,26553738
468,469,964390,TRIMOFIX O BM,KETONE,,144020-22-4,,,26553738
469,470,182461,UNDECALACTONE DELTA,LACTONE,,710-04-3,,,34990345
470,471,131375,UNDECENAL TRANS-2,ALDEHYDE,,2463-77-6,53448-07-0,,4936357
471,472,130878,UNDECYLENIC ALCOHOL,ALCOHOL,,112-43-6,,,7893
472,473,113552,VALEROLACTONE GAMMA,LACTONE,,108-29-2,,,7633
473,474,131423,VELOUTONE,KETONE,,65443-14-3,,,103394
474,475,195933,VELVIONE,KETONE,,37609-25-9,,,26547690